ID,Handle,Command,Title,Body HTML,Sort Order,Template Suffix,Updated At,Published,Published At,Published Scope,Image Src,Image Width,Image Height,Image Alt Text,Row #,Top Row,Product: ID,Product: Handle,Product: Position,Product: Command,Metafield: title_tag [string],Metafield: description_tag [string],Metafield: nogin.element_data [json],Metafield: nogin.layout [single_line_text_field],Metafield: custom.seo_description [rich_text_field],Metafield: ss_explosion [single_line_text_field],Metafield: plp.title [multi_line_text_field],Metafield: collection.banner_mobile [single_line_text_field],Metafield: collection.banner [single_line_text_field],Metafield: description_tag [multi_line_text_field],Metafield: title_tag [multi_line_text_field],Metafield: gendered_collection [string],Metafield: shogun.above [string],Metafield: shogun.below [string]
272919396440,trail-running,MERGE,Trail Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:01 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_TrailRunning.webp?v=1713920735,3810,932,three trail runners wearing Nathan Sports apparel and hydration packs running down a dirt hill,190,,8298768531544,quickstart-soft-flask-14oz,59,MERGE,,,,,,,,,,,,,,
272919396440,trail-running,MERGE,Trail Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:01 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_TrailRunning.webp?v=1713920735,3810,932,three trail runners wearing Nathan Sports apparel and hydration packs running down a dirt hill,191,,7433473785944,speeddraw-plus-insulated-flask,60,MERGE,,,,,,,,,,,,,,
272919396440,trail-running,MERGE,Trail Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:01 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_TrailRunning.webp?v=1713920735,3810,932,three trail runners wearing Nathan Sports apparel and hydration packs running down a dirt hill,192,,2075004764248,trailmix-7-liter-race-pack,61,MERGE,,,,,,,,,,,,,,
272919396440,trail-running,MERGE,Trail Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:01 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_TrailRunning.webp?v=1713920735,3810,932,three trail runners wearing Nathan Sports apparel and hydration packs running down a dirt hill,193,,8441620365400,hypernight-quickstart-3-0-4-liter-hydration-pack,62,MERGE,,,,,,,,,,,,,,
272919396440,trail-running,MERGE,Trail Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:01 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_TrailRunning.webp?v=1713920735,3810,932,three trail runners wearing Nathan Sports apparel and hydration packs running down a dirt hill,194,,8442066370648,hypernight-reflective-headband-2,63,MERGE,,,,,,,,,,,,,,
272919396440,trail-running,MERGE,Trail Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:01 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_TrailRunning.webp?v=1713920735,3810,932,three trail runners wearing Nathan Sports apparel and hydration packs running down a dirt hill,195,,8442085113944,hypernight-pinnacle-soft-flask-14oz,64,MERGE,,,,,,,,,,,,,,
272919396440,trail-running,MERGE,Trail Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:01 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_TrailRunning.webp?v=1713920735,3810,932,three trail runners wearing Nathan Sports apparel and hydration packs running down a dirt hill,196,,8442897334360,hypernight-reflective-beanie-2,65,MERGE,,,,,,,,,,,,,,
272919396440,trail-running,MERGE,Trail Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:01 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_TrailRunning.webp?v=1713920735,3810,932,three trail runners wearing Nathan Sports apparel and hydration packs running down a dirt hill,197,,8442956054616,hypernight-reflective-convertible-mitt-2,66,MERGE,,,,,,,,,,,,,,
272919396440,trail-running,MERGE,Trail Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:01 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_TrailRunning.webp?v=1713920735,3810,932,three trail runners wearing Nathan Sports apparel and hydration packs running down a dirt hill,198,,8443049312344,hypernight-reflective-gloves-2,67,MERGE,,,,,,,,,,,,,,
272919396440,trail-running,MERGE,Trail Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:01 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_TrailRunning.webp?v=1713920735,3810,932,three trail runners wearing Nathan Sports apparel and hydration packs running down a dirt hill,199,,8443116224600,saferrun-siren-led-alarm-rx,68,MERGE,,,,,,,,,,,,,,
272919429208,road-running,MERGE,Road Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:17 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_RoadRunning.webp?v=1713919530,3810,932,one male and one female on a road running in Nathan Sports short sleeve shirts and shorts,200,true,8284595388504,quickstart-3-0-6-liter-hydration-pack,1,MERGE,,,,,,TRUE,,,,,,,,
272919429208,road-running,MERGE,Road Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:17 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_RoadRunning.webp?v=1713919530,3810,932,one male and one female on a road running in Nathan Sports short sleeve shirts and shorts,201,,8284636381272,quickstart-3-0-4-liter-hydration-pack,2,MERGE,,,,,,,,,,,,,,
272919429208,road-running,MERGE,Road Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:17 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_RoadRunning.webp?v=1713919530,3810,932,one male and one female on a road running in Nathan Sports short sleeve shirts and shorts,202,,8284574253144,quickstart-3-0-3-liter-hydration-pack,3,MERGE,,,,,,,,,,,,,,
272919429208,road-running,MERGE,Road Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:17 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_RoadRunning.webp?v=1713919530,3810,932,one male and one female on a road running in Nathan Sports short sleeve shirts and shorts,203,,8284753264728,quickstart-3-0-4-liter-soft-flask-hydration-pack,4,MERGE,,,,,,,,,,,,,,
272919429208,road-running,MERGE,Road Running,,Manual,,2025-11-05 04:11:30 -0800,true,2023-09-20 13:04:17 -0700,global,https://cdn.shopify.com/s/files/1/0059/6253/0904/collections/NS24_site_PLP_Banner_RoadRunning.webp?v=1713919530,3810,932,one male and one female on a road running in Nathan Sports short sleeve shirts and shorts,204,,8273264115800,pinnacle-soft-flask-handheld-18oz,5,MERGE,,,,,,,,,,,,,,
